time,temperature_2m_max,temperature_2m_mean,temperature_2m_min,dew_point_2m_max,dew_point_2m_mean,dew_point_2m_min,relative_humidity_2m_max,relative_humidity_2m_mean,relative_humidity_2m_min,surface_pressure_max,surface_pressure_mean,surface_pressure_min,wind_speed_10m_max,wind_speed_10m_mean,wind_speed_10m_min,precipitation_sum
2006-02-14,29.5,27.6,26.4,24.8,24.5,24.2,90,83,75,1010.0,1007.4,1005.5,17.9,13.4,9.0,4.5
2006-02-15,29.8,27.1,25.5,24.5,24.1,23.6,93,84,72,1009.9,1007.6,1005.3,16.6,13.1,7.7,7.0
2006-02-16,30.9,28.1,26.3,24.4,24.2,24.0,87,79,68,1008.7,1006.7,1004.0,19.6,16.1,11.4,0.6
2006-02-17,29.7,27.8,26.7,24.9,24.4,23.8,88,82,73,1009.9,1008.0,1006.2,22.4,18.7,13.2,0.7
2006-02-18,30.6,27.9,26.1,25.0,24.6,24.1,91,82,68,1011.4,1009.1,1007.0,17.5,13.9,11.4,3.2
2006-02-19,30.3,28.0,26.4,25.0,24.7,24.3,91,83,73,1010.9,1008.7,1006.2,17.7,13.4,9.7,1.6
2006-02-20,30.9,28.2,26.6,25.0,24.4,23.8,91,80,68,1010.0,1008.1,1005.8,18.4,14.6,9.6,1.2
2006-02-21,27.8,27.2,26.6,24.6,24.3,23.7,88,84,81,1010.5,1008.7,1007.0,18.2,14.1,11.2,10.0
2006-02-22,29.8,27.3,26.1,24.5,24.2,23.6,89,83,72,1011.6,1009.4,1007.6,15.4,12.2,6.8,13.8
2006-02-23,30.5,28.1,26.7,24.7,24.4,24.2,87,81,71,1010.8,1008.9,1006.7,15.5,12.6,8.9,1.3
2006-02-24,30.9,28.4,26.8,24.9,24.6,24.3,88,80,69,1010.5,1008.2,1006.2,17.6,13.9,10.2,1.0
2006-02-25,30.3,28.2,27.0,24.8,24.5,24.1,88,81,72,1010.4,1008.2,1006.7,18.2,15.5,13.3,1.3
2006-02-26,30.8,28.2,26.7,24.9,24.5,24.2,88,81,70,1010.1,1008.5,1007.0,19.9,16.2,11.9,3.3
2006-02-27,31.4,28.7,26.9,24.8,24.4,24.0,88,78,65,1009.8,1007.9,1005.4,17.7,13.2,7.8,0.2
2006-02-28,30.6,28.5,27.0,24.6,24.3,23.9,86,78,69,1010.2,1008.4,1006.4,16.6,13.1,10.2,2.1
2006-03-01,30.3,28.2,27.1,24.9,24.5,24.2,86,80,72,1011.0,1008.9,1007.2,21.1,16.3,12.8,7.1
2006-03-02,30.6,28.0,26.9,24.8,24.6,24.5,87,82,71,1011.4,1009.8,1008.5,17.9,15.0,12.5,3.8
2006-03-03,30.7,28.3,26.8,24.7,24.5,24.1,88,80,70,1012.0,1010.0,1008.1,18.6,15.8,11.9,0.8
2006-03-04,31.4,28.5,27.1,25.1,24.5,24.1,86,79,66,1011.8,1009.4,1007.7,22.3,18.9,16.6,1.0
2006-03-05,31.1,28.4,26.8,24.7,24.4,24.0,87,79,67,1011.6,1009.2,1007.8,21.9,18.2,14.8,1.2
2006-03-06,31.1,28.6,26.9,24.8,24.4,24.0,86,79,66,1011.0,1009.2,1007.6,19.9,16.6,12.0,2.2
2006-03-07,31.1,28.5,26.9,24.7,24.3,23.9,88,78,67,1010.9,1008.8,1006.9,19.6,15.9,13.0,1.9
2006-03-08,29.9,27.4,26.1,24.9,24.2,23.8,89,83,71,1009.9,1008.2,1006.6,19.1,16.0,10.5,11.7
2006-03-09,29.1,26.8,25.7,24.7,24.1,23.7,91,85,74,1010.3,1008.2,1006.6,11.5,7.0,3.2,14.0
2006-03-10,29.2,27.2,25.1,24.6,24.2,24.0,94,84,76,1010.9,1008.8,1007.2,16.6,10.8,6.5,2.0
2006-03-11,30.0,27.9,26.2,24.7,24.3,24.1,89,81,74,1011.2,1009.0,1006.9,15.8,12.5,9.2,1.3
2006-03-12,30.9,28.2,26.5,24.6,24.3,24.2,89,80,69,1010.7,1008.4,1006.3,17.0,14.3,11.0,0.6
2006-03-13,30.8,28.3,26.8,24.8,24.4,23.9,87,80,69,1009.2,1007.4,1005.3,15.8,12.8,8.6,0.8
2006-03-14,30.8,28.5,26.9,25.1,24.8,24.4,88,81,70,1009.9,1007.7,1005.6,16.0,13.2,9.8,2.3
2006-03-15,30.6,27.8,26.5,25.0,24.7,24.3,89,84,70,1010.3,1008.7,1006.6,18.0,13.0,5.3,6.4
2006-03-16,30.1,27.8,26.7,25.1,24.6,24.3,88,83,72,1011.1,1008.6,1006.5,15.1,12.4,8.4,3.4
2006-03-17,30.2,28.0,26.5,25.1,24.6,23.9,90,82,73,1010.8,1007.5,1005.1,17.9,12.8,8.7,1.4
2006-03-18,30.4,28.1,26.7,24.4,24.1,23.8,86,79,69,1009.7,1007.6,1006.2,18.6,15.5,12.7,0.6
2006-03-19,30.4,28.2,26.9,24.5,24.2,23.7,86,79,69,1010.0,1007.8,1006.0,18.0,14.8,6.7,0.7
2006-03-20,30.7,28.4,26.8,24.5,24.3,23.8,87,79,67,1009.8,1007.9,1006.2,15.7,12.5,7.1,0.3
2006-03-21,30.8,28.6,26.8,24.5,24.1,23.5,86,77,65,1010.1,1008.3,1006.9,19.4,16.4,13.2,0.1
2006-03-22,27.9,26.9,25.5,24.4,23.9,23.4,90,84,77,1013.1,1009.1,1006.2,16.6,11.6,5.8,12.5
2006-03-23,30.0,27.8,25.8,24.8,24.1,23.4,91,81,69,1010.3,1008.1,1006.3,16.6,10.7,5.0,0.3
2006-03-24,30.9,28.3,26.7,24.4,23.9,23.2,86,77,67,1009.8,1007.5,1005.9,16.0,13.3,8.7,0.2
2006-03-25,31.0,28.6,26.8,24.5,23.7,23.1,83,75,63,1010.2,1008.1,1006.3,17.9,14.6,10.0,0.0
2006-03-26,31.5,28.7,27.2,25.0,24.6,24.2,86,79,67,1011.9,1009.6,1007.7,18.1,15.5,12.0,0.8
2006-03-27,31.1,28.7,27.2,25.3,24.9,24.5,88,80,71,1011.3,1009.5,1008.0,16.6,14.6,12.4,1.9
2006-03-28,30.6,28.4,26.5,24.9,24.7,24.2,90,80,71,1011.5,1009.2,1007.6,16.9,14.9,12.7,4.6
2006-03-29,31.5,28.4,25.7,24.9,24.5,23.9,90,80,66,1011.6,1009.6,1007.8,17.8,12.7,9.7,3.3
2006-03-30,31.6,28.7,25.9,25.0,24.7,24.1,94,80,67,1011.4,1009.0,1006.0,15.3,11.3,5.4,0.7
2006-03-31,31.6,28.8,27.1,25.0,24.7,24.3,88,79,66,1010.6,1008.6,1006.6,17.1,12.9,9.4,1.5
2006-04-01,31.7,28.8,27.1,25.1,24.8,24.3,88,79,66,1009.9,1008.1,1005.8,17.6,14.0,11.0,1.8
2006-04-02,31.0,28.6,27.3,25.1,24.8,24.4,87,80,70,1009.9,1008.3,1006.7,16.7,15.1,12.8,3.0
2006-04-03,31.3,28.7,26.8,25.2,24.8,24.3,89,80,68,1010.1,1008.5,1006.6,14.8,12.9,10.2,1.8
2006-04-04,30.7,28.4,26.8,25.0,24.8,24.3,88,81,70,1010.0,1008.2,1006.0,16.1,13.0,10.5,3.6
2006-04-05,29.4,27.7,26.3,25.2,24.8,24.0,89,84,77,1010.1,1008.0,1006.5,17.7,11.5,5.9,5.4
2006-04-06,29.7,28.0,26.9,25.4,25.0,24.8,90,84,77,1010.2,1007.7,1005.8,15.3,11.5,7.1,4.1
2006-04-07,31.0,28.4,27.2,25.4,25.1,25.0,89,83,71,1009.4,1007.3,1005.9,14.5,12.3,8.9,3.5
2006-04-08,31.3,28.6,27.1,25.6,25.2,24.9,89,82,70,1009.2,1006.5,1004.0,17.4,12.6,5.7,1.3
2006-04-09,31.1,28.7,27.2,25.6,25.3,24.7,90,82,70,1006.8,1004.7,1002.7,15.9,13.9,10.8,1.5
2006-04-10,30.7,28.5,27.2,25.6,25.4,24.4,90,83,72,1007.5,1005.0,1003.1,17.9,14.0,10.3,1.9
2006-04-11,31.6,29.0,27.2,25.4,24.9,24.3,88,79,66,1008.7,1006.6,1004.5,21.8,16.0,12.2,0.5
2006-04-12,31.4,28.7,26.7,25.4,25.1,24.7,89,81,69,1008.3,1006.5,1004.4,22.0,18.4,15.1,5.8
2006-04-13,30.8,28.6,26.8,25.3,24.9,24.5,88,81,70,1007.9,1005.6,1003.4,18.9,14.5,8.6,1.8
2006-04-14,30.9,28.5,27.0,25.2,24.9,24.5,89,81,71,1008.4,1006.2,1004.6,17.3,14.1,10.7,2.1
2006-04-15,31.4,28.6,26.8,25.3,24.9,24.7,91,81,69,1010.5,1008.3,1006.6,17.6,14.6,11.2,1.7
2006-04-16,28.7,27.6,26.4,25.0,24.7,24.2,91,84,79,1011.5,1009.1,1006.9,15.1,11.4,6.8,5.8
